step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,16,20,0.800,0,3.03
10000,16,20,0.800,0,2.51
15000,17,20,0.850,0,2.47
20000,16,20,0.800,0,2.69
25000,16,20,0.800,0,2.51
