step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,18,20,0.900,0,2.87
10000,19,20,0.950,0,2.75
15000,19,20,0.950,0,2.97
20000,19,20,0.950,0,2.72
25000,19,20,0.950,0,2.60
30000,19,20,0.950,0,2.67
35000,20,20,1.000,0,2.95
40000,19,20,0.950,0,2.65
45000,19,20,0.950,0,2.75
50000,19,20,0.950,0,2.78
55000,19,20,0.950,0,2.77
60000,19,20,0.950,0,2.78
