step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,18,20,0.900,0,2.87
10000,20,20,1.000,0,2.74
15000,20,20,1.000,0,2.80
20000,20,20,1.000,0,2.80
25000,20,20,1.000,0,2.81
30000,20,20,1.000,0,2.77
35000,20,20,1.000,0,2.86
40000,20,20,1.000,0,2.76
45000,20,20,1.000,0,2.79
50000,20,20,1.000,0,2.77
