step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,19,20,0.950,0,3.39
10000,19,20,0.950,0,2.86
15000,20,20,1.000,0,2.80
20000,20,20,1.000,0,2.74
25000,20,20,1.000,0,2.94
30000,20,20,1.000,0,2.91
35000,20,20,1.000,0,2.79
40000,20,20,1.000,0,2.86
45000,19,20,0.950,0,2.84
50000,20,20,1.000,0,2.79
