step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,20,20,1.000,0,0.43
10000,20,20,1.000,0,0.23
15000,20,20,1.000,0,0.34
20000,20,20,1.000,0,0.30
25000,20,20,1.000,0,0.28
30000,20,20,1.000,0,0.28
35000,20,20,1.000,0,0.26
40000,20,20,1.000,0,0.25
45000,20,20,1.000,0,0.24
50000,20,20,1.000,0,0.26
