step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,17,20,0.850,0,3.32
10000,19,20,0.950,0,2.80
15000,20,20,1.000,0,2.95
20000,20,20,1.000,0,2.88
25000,19,20,0.950,0,2.89
30000,20,20,1.000,0,2.76
35000,20,20,1.000,0,2.83
40000,20,20,1.000,0,2.74
45000,20,20,1.000,0,2.90
50000,20,20,1.000,0,2.92
