step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,18,20,0.900,0,3.27
10000,18,20,0.900,0,2.73
15000,20,20,1.000,0,2.74
20000,19,20,0.950,0,2.96
25000,19,20,0.950,0,2.89
30000,19,20,0.950,0,2.96
35000,18,20,0.900,0,2.97
40000,19,20,0.950,0,2.83
45000,20,20,1.000,0,2.83
50000,20,20,1.000,0,2.84
