step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,20,20,1.000,0,0.30
10000,20,20,1.000,0,0.37
15000,20,20,1.000,0,0.35
20000,20,20,1.000,0,0.31
25000,20,20,1.000,0,0.27
30000,20,20,1.000,0,0.32
35000,20,20,1.000,0,0.27
40000,20,20,1.000,0,0.30
45000,20,20,1.000,0,0.27
50000,20,20,1.000,0,0.25
