step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,19,20,0.950,0,2.64
10000,19,20,0.950,0,2.76
15000,19,20,0.950,0,3.02
20000,20,20,1.000,0,2.82
25000,20,20,1.000,0,2.82
30000,20,20,1.000,0,2.81
35000,20,20,1.000,0,2.82
40000,20,20,1.000,0,2.90
45000,20,20,1.000,0,2.80
50000,20,20,1.000,0,2.76
