step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,14,20,0.700,0,2.91
10000,18,20,0.900,0,2.61
15000,20,20,1.000,0,2.84
20000,20,20,1.000,0,2.87
25000,20,20,1.000,0,2.62
30000,20,20,1.000,0,2.70
