step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,18,20,0.900,0,2.95
10000,19,20,0.950,0,2.73
15000,20,20,1.000,0,2.96
20000,20,20,1.000,0,2.84
25000,19,20,0.950,0,2.90
30000,19,20,0.950,0,3.03
35000,20,20,1.000,0,2.72
40000,19,20,0.950,0,2.71
45000,19,20,0.950,0,2.96
50000,19,20,0.950,0,2.82
