step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,20,20,1.000,0,0.30
10000,20,20,1.000,0,0.35
15000,20,20,1.000,0,0.28
20000,20,20,1.000,0,0.29
25000,20,20,1.000,0,0.27
30000,20,20,1.000,0,0.25
35000,20,20,1.000,0,0.22
40000,20,20,1.000,0,0.27
45000,20,20,1.000,0,0.28
50000,20,20,1.000,0,0.21
