step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,16,20,0.800,0,2.68
10000,18,20,0.900,0,2.59
15000,19,20,0.950,0,2.69
20000,19,20,0.950,0,2.71
25000,20,20,1.000,0,2.68
30000,20,20,1.000,0,3.15
35000,20,20,1.000,0,2.76
40000,20,20,1.000,0,2.73
45000,19,20,0.950,0,2.74
50000,18,20,0.900,0,2.70
