step,success,n,rate,wrong_object,mean_time_to_attach_s
5000,18,20,0.900,0,2.85
10000,19,20,0.950,0,2.73
15000,19,20,0.950,0,2.83
20000,20,20,1.000,0,2.74
25000,19,20,0.950,0,2.83
30000,20,20,1.000,0,2.77
35000,20,20,1.000,0,2.75
40000,20,20,1.000,0,2.90
45000,20,20,1.000,0,2.73
50000,20,20,1.000,0,2.75
